judgment_id,reference_start,reference_end,primary_anchor_atom_if_known,judgment_type,structural_function,hierarchy_relation,related_reference,related_judgment_id_if_available,linguistic_basis,source_evidence_ids,source_layers,methodological_note,review_status,reviewer_notes
HSA001,1:5,1:5,,HUMAN_STRUCTURAL_ADJUDICATION,INTERNAL_TRANSITION,CONTINUES_WITHIN,"[""1:1–1:5""]","[""""]",ויהי; 1:1–5 내부의 전환.,"[""R4.2:CONTROL:1:5"",""R4.2:P:853130"",""R4.2:P:853133"",""R4.2:P:853145"",""R4.2:P:853148"",""R4.2:P:853155"",""R4.1:MR1:way0:[\""497528\""]"",""R4.1:MR1:csf:[\""1\""]"",""MR1:way0:[\""497528\""]"",""MR1:csf:[\""1\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",1:6과 동일 계층으로 승격하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA002,1:6,1:6,,HUMAN_STRUCTURAL_ADJUDICATION,SCENE_ONSET,SAME_LEVEL_SIBLING,"[""2:1""]","[""HSA009""]",ויהי היום; 2:1과 병행하는 시험 단위 시작.,"[""R4.2:CONTROL:1:6"",""R4.2:P:853162"",""R4.2:P:853164"",""R4.2:P:853167"",""R4.1:MR1:way0:[\""497538\""]"",""MR1:way0:[\""497538\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",동일 계층은 연구자 판정이다. 정확한 전체 parent span은 미정.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA003,1:13,1:13,,HUMAN_STRUCTURAL_ADJUDICATION,SCENE_ONSET,CHILD_OF,"[""1:6""]","[""HSA002""]",ויהי היום; 1:6에서 시작한 단위 내부의 새 장면.,"[""R4.2:CONTROL:1:13"",""R4.2:P:853263"",""R4.1:MR1:way0:[\""497569\""]"",""MR1:way0:[\""497569\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",1:6의 하위 장면이며 동일 계층 단위가 아니다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA004,1:14,1:14,,HUMAN_STRUCTURAL_ADJUDICATION,INTERNAL_TRANSITION,CONTINUES_WITHIN,"[""1:13""]","[""HSA003""]",מלאך; 1:13에서 열린 장면 안의 participant-entry event.,"[""R4.2:CONTROL:1:14"",""R4.2:P:853270"",""R4.2:P:853272"",""R4.2:P:853279"",""R4.1:MR1:csf:[\""7\""]"",""MR1:csf:[\""7\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 전달자 sequence는 human control이다. 1:14는 overt מלאך; 1:16/17/18은 익명 진입이며 computational identity/first appearance는 UNRESOLVED. IMPLICIT_ROLE_FROM_PREVIOUS_SUBJECT는 identity 근거가 아니다. 1:6 수준으로 승격하지 않으며 사건 사이의 추가 sibling 관계는 판정하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA005,1:16,1:16,,HUMAN_STRUCTURAL_ADJUDICATION,INTERNAL_TRANSITION,CONTINUES_WITHIN,"[""1:13""]","[""HSA003""]",זה + בא; 1:13에서 열린 장면 안의 participant-entry event.,"[""R4.2:CONTROL:1:16"",""R4.2:P:853300"",""R4.2:P:853304"",""R4.1:MR1:csf:[\""8\""]"",""MR1:csf:[\""8\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 전달자 sequence는 human control이다. 1:14는 overt מלאך; 1:16/17/18은 익명 진입이며 computational identity/first appearance는 UNRESOLVED. IMPLICIT_ROLE_FROM_PREVIOUS_SUBJECT는 identity 근거가 아니다. 1:6 수준으로 승격하지 않으며 사건 사이의 추가 sibling 관계는 판정하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA006,1:17,1:17,,HUMAN_STRUCTURAL_ADJUDICATION,INTERNAL_TRANSITION,CONTINUES_WITHIN,"[""1:13""]","[""HSA003""]",זה + בא; 1:13에서 열린 장면 안의 participant-entry event.,"[""R4.2:CONTROL:1:17"",""R4.2:P:853321"",""R4.2:P:853325"",""R4.1:MR1:csf:[\""9\""]"",""MR1:csf:[\""9\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 전달자 sequence는 human control이다. 1:14는 overt מלאך; 1:16/17/18은 익명 진입이며 computational identity/first appearance는 UNRESOLVED. IMPLICIT_ROLE_FROM_PREVIOUS_SUBJECT는 identity 근거가 아니다. 1:6 수준으로 승격하지 않으며 사건 사이의 추가 sibling 관계는 판정하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA007,1:18,1:18,,HUMAN_STRUCTURAL_ADJUDICATION,INTERNAL_TRANSITION,CONTINUES_WITHIN,"[""1:13""]","[""HSA003""]",זה + בא; 1:13에서 열린 장면 안의 participant-entry event.,"[""R4.2:CONTROL:1:18"",""R4.2:P:853346"",""R4.2:P:853350"",""R4.1:MR1:csf:[\""10\""]"",""MR1:csf:[\""10\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 전달자 sequence는 human control이다. 1:14는 overt מלאך; 1:16/17/18은 익명 진입이며 computational identity/first appearance는 UNRESOLVED. IMPLICIT_ROLE_FROM_PREVIOUS_SUBJECT는 identity 근거가 아니다. 1:6 수준으로 승격하지 않으며 사건 사이의 추가 sibling 관계는 판정하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA008,1:22,1:22,,HUMAN_STRUCTURAL_ADJUDICATION,PARALLEL_ENDING,PARALLEL_TO,"[""2:10""]","[""HSA011""]","בכל זאת לא חטא איוב; R4.2의 대응 평가절 및 F000020/G0, F001232/G1 형식 근거.","[""R4.2:CONTROL:1:22"",""R4.2:P:853408""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance""]",MR1_EXPLICIT_CLOSURE=false. 두 시험 단위의 human parallel ending이며 MR1 closure rule 추가가 아니다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA009,2:1,2:1,,HUMAN_STRUCTURAL_ADJUDICATION,SCENE_ONSET,SAME_LEVEL_SIBLING,"[""1:6""]","[""HSA002""]",ויהי היום; 1:6과 병행하는 시험 단위 시작.,"[""R4.2:CONTROL:2:1"",""R4.2:P:853419"",""R4.2:P:853421"",""R4.2:P:853424"",""R4.2:P:853427"",""R4.1:MR1:way0:[\""497623\""]"",""MR1:way0:[\""497623\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",동일 계층은 연구자 판정이다. 정확한 전체 parent span은 미정.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA010,2:9,2:9,,HUMAN_STRUCTURAL_ADJUDICATION,INTERNAL_TRANSITION,CONTINUES_WITHIN,"[""2:1–2:10""]","[""""]",ותאמר לו אשתו; 아내의 participant/scene change.,"[""R4.2:CONTROL:2:9"",""R4.2:P:853525"",""R4.1:MR1:csf:[\""17\""]"",""MR1:csf:[\""17\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",2:1–10 단위 안에 있다. 2:1과 병행하는 동일 계층 시작이 아니다. source의 소유 접미사로 referential identity를 새로 계산하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
