case_id,case_type,form_assessment,sufficient_context,observable_behavior,recurring_context,exceptions,additional_information_needed,reviewer_notes,review_status,review_time_seconds,source,date,automated_judgment,review_time_measurement,structural_rhetorical_function_labels,form_assessment_provenance,source_document_sha256,baseline_commit
CASE001,HIGH_OCCURRENCE_BUNDLE,INSUFFICIENT,YES,,,,,"동일 `xYq0`라는 계산적 공통성은 재현되지만 366개 표면형은 지나치게 이질적이다.
저해상도 baseline class로는 보존 가능하나 하나의 인간 인식 가능 형식으로 보기 어렵다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE002,HIGH_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,"명사문이라는 명확한 언어학적 공통성을 가진다.
구조적 유용성은 별도 문제다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE003,HIGH_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,CASE002의 명사문 중 verbal morphology가 없는 307개가 남는 refinement는 자연스럽다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE004,HIGH_OCCURRENCE_BUNDLE,INSUFFICIENT,YES,,,,,동일 `ZYq0`라는 분류 근거는 이해되지만 표면적으로 하나의 일관된 형식으로 인식하기 어렵다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE005,HIGH_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,"`WxY0` 계열의 공통성이 표면적으로 비교적 눈에 띈다.
다만 관찰되는 `וְ` 하나로 전체 유형을 환원하지 않는다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE006,HIGH_OCCURRENCE_BUNDLE,INSUFFICIENT,YES,,,,,동일 `xQt0`라는 계산적 공통성은 재현되지만 실제 예문은 인간에게 이질적이다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE007,LOW_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,Job 1:7과 2:2의 4-clause_atom sequence가 명확하게 반복된다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE008,LOW_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,CASE007의 동일 반복이 여호와의 다음 발화 공식까지 5단위로 자연스럽게 연장된다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE009,LOW_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,반복이 6단위까지 유지되며 두 하늘 장면의 형식적 병행이 뚜렷하다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE010,LOW_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,"동일 sequence가 7단위까지 연장된다.
CASE007–009와 독립적 증거로 중복 계산하지 않는다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
