judgment_id,reference_start,reference_end,primary_anchor_atom_if_known,judgment_type,structural_function,hierarchy_relation,related_reference,related_judgment_id_if_available,linguistic_basis,source_evidence_ids,source_layers,methodological_note,review_status,reviewer_notes,human_speaker,human_group,higher_order_function,direct_closure_target,higher_order_terminal_effect
HSA2-INITIAL,3:1,3:1,,HUMAN_INITIAL_SPEECH_CONTEXT,SPEECH_UNIT_ONSET,HIERARCHICALLY_ABOVE,"[""3:2""]","[""HSA014""]",אחרי כן / פתח איוב את פיהו; HSA1 distinction from 3:2 CSF.,"[""HSA2:PANEL:3:1"",""R4.2:P:853609""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Independent first Job speech before the dialogue section. Existing HSA1 paragraph/onset and above-3:2 judgment retained; new initial-speech context supplements it.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,,,,
HSA2-C1-S1,4:1,4:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""6:1"",""8:1"",""9:1"",""11:1"",""12:1""]","[""HSA2-C1-S2"",""HSA2-C1-S3"",""HSA2-C1-S4"",""HSA2-C1-S5"",""HSA2-C1-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Eliphaz.,"[""HSA2:PANEL:4:1"",""R4.2:P:853815"",""R4.1:MR1:csf:[\""20\""]"",""MR1:csf:[\""20\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 1. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Eliphaz,CYCLE_1,,,
HSA2-C1-S2,6:1,6:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""4:1"",""8:1"",""9:1"",""11:1"",""12:1""]","[""HSA2-C1-S1"",""HSA2-C1-S3"",""HSA2-C1-S4"",""HSA2-C1-S5"",""HSA2-C1-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:6:1"",""R4.2:P:854172"",""R4.1:MR1:csf:[\""21\""]"",""MR1:csf:[\""21\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 1. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_1,,,
HSA2-C1-S3,8:1,8:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""4:1"",""6:1"",""9:1"",""11:1"",""12:1""]","[""HSA2-C1-S1"",""HSA2-C1-S2"",""HSA2-C1-S4"",""HSA2-C1-S5"",""HSA2-C1-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Bildad.,"[""HSA2:PANEL:8:1"",""R4.2:P:854577"",""R4.1:MR1:csf:[\""22\""]"",""MR1:csf:[\""22\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 1. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Bildad,CYCLE_1,,,
HSA2-C1-S4,9:1,9:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""4:1"",""6:1"",""8:1"",""11:1"",""12:1""]","[""HSA2-C1-S1"",""HSA2-C1-S2"",""HSA2-C1-S3"",""HSA2-C1-S5"",""HSA2-C1-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:9:1"",""R4.2:P:854739"",""R4.1:MR1:csf:[\""23\""]"",""MR1:csf:[\""23\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 1. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_1,,,
HSA2-C1-S5,11:1,11:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""4:1"",""6:1"",""8:1"",""9:1"",""12:1""]","[""HSA2-C1-S1"",""HSA2-C1-S2"",""HSA2-C1-S3"",""HSA2-C1-S4"",""HSA2-C1-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Zophar.,"[""HSA2:PANEL:11:1"",""R4.2:P:855170"",""R4.1:MR1:csf:[\""24\""]"",""MR1:csf:[\""24\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 1. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Zophar,CYCLE_1,,,
HSA2-C1-S6,12:1,12:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""4:1"",""6:1"",""8:1"",""9:1"",""11:1""]","[""HSA2-C1-S1"",""HSA2-C1-S2"",""HSA2-C1-S3"",""HSA2-C1-S4"",""HSA2-C1-S5""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:12:1"",""R4.2:P:855338"",""R4.1:MR1:csf:[\""26\""]"",""MR1:csf:[\""26\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 1. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_1,,,
HSA2-C2-S1,15:1,15:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""16:1"",""18:1"",""19:1"",""20:1"",""21:1""]","[""HSA2-C2-S2"",""HSA2-C2-S3"",""HSA2-C2-S4"",""HSA2-C2-S5"",""HSA2-C2-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Eliphaz.,"[""HSA2:PANEL:15:1"",""R4.2:P:855909"",""R4.1:MR1:csf:[\""27\""]"",""MR1:csf:[\""27\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 2. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Eliphaz,CYCLE_2,,,
HSA2-C2-S2,16:1,16:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""15:1"",""18:1"",""19:1"",""20:1"",""21:1""]","[""HSA2-C2-S1"",""HSA2-C2-S3"",""HSA2-C2-S4"",""HSA2-C2-S5"",""HSA2-C2-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:16:1"",""R4.2:P:856174"",""R4.1:MR1:csf:[\""28\""]"",""MR1:csf:[\""28\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 2. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_2,,,
HSA2-C2-S3,18:1,18:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""15:1"",""16:1"",""19:1"",""20:1"",""21:1""]","[""HSA2-C2-S1"",""HSA2-C2-S2"",""HSA2-C2-S4"",""HSA2-C2-S5"",""HSA2-C2-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Bildad.,"[""HSA2:PANEL:18:1"",""R4.2:P:856464"",""R4.1:MR1:csf:[\""29\""]"",""MR1:csf:[\""29\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 2. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Bildad,CYCLE_2,,,
